CODIGO;DENOMINACION_GENERICA_ES;DENOMINACION_GENERICA_VAL;DENOMINACION_ESPECIFICA;DENOMINACION;REGIMEN;TIPO_VIA;DIRECCION;NUMERO;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;TELEFONO;FAX;COD_EDIFICACION;TITULARIDAD;CIF;COMARCA;URL_ES;URL_VA
3000230;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP EL ROMERAL;CEIP EL ROMERAL;PÚB.;CARRER;MESTRE RIBERA MONTÉS;10;3802;ALCOI;ALICANTE/ALACANT;966527820;;1;GENERALITAT VALENCIANA;Q5355047A;L'ALCOIÀ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000230;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000230
3003681;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;CENTRE PRIVAT MARÍA ASUNTA;CENTRE PRIVAT MARÍA ASUNTA;PRIV. CONC.;CARRER;COLÓN;1;3420;CASTALLA;ALICANTE/ALACANT;965560084;965561656;1;NO CONSTA.;R0300025D;L'ALCOIÀ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03003681;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03003681
3007479;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP VIRGEN DEL PILAR;CEIP VIRGEN DEL PILAR;PÚB.;CARRER;GABRIEL MIRÓ;5;3190;PILAR DE LA HORADADA;ALICANTE/ALACANT;966904255;;1;GENERALITAT VALENCIANA;Q5355248E;EL BAIX SEGURA/LA VEGA BAJA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03007479;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03007479
3009439;CENTRO ADMINISTRATIVO;CENTRO ADMINISTRATIVO;D.TERRITORIAL DE EDUCACIÓN, FORMACIÓN Y TRABAJO - ALICANTE;D.TERRITORIAL DE EDUCACIÓN, FORMACIÓN Y TRABAJO - ALICANTE;OTROS;CARRER;CARRATALÁ;47;3007;ALACANT;ALICANTE/ALACANT;;;;NO CONSTA.;-1;L'ALACANTÍ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03009439;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03009439
12005337;ESCUELA PÚBLICA DE MÚSICA;ESCOLA PÚBLICA DE MÚSICA;E. DE MÚSICA COMARCAL DEL ALTO PALANCIA;E. DE MÚSICA COMARCAL DEL ALTO PALANCIA;PÚB.;CARRER;ALTO PALANCIA;4;12480;SONEJA;CASTELLÓN/CASTELLÓ;964132740;964132716;1;NO CONSTA.;P1200010E;L'ALT PALANCIA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12005337;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12005337
12007103;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;CENTRE PRIV. ED. INF. 1ER CICLE LA JIRAFA;CENTRE PRIV. ED. INF. 1ER CICLE LA JIRAFA;PRIV.;CARRER;MUSEROS;16;12005;CASTELLÓ DE LA PLANA;CASTELLÓN/CASTELLÓ;964236262;;1;PRIVADA.;B12378980;LA PLANA ALTA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12007103;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12007103
12B16603;CENTRO DE DOCUMENTACION;CENTRO DE DOCUMENTACION;ALICER;ALICER;OTROS;AVINGUDA;DEL MAR;S/N;12003;CASTELLÓ DE LA PLANA;CASTELLÓN/CASTELLÓ;;;;NO CONSTA.;-1;LA PLANA ALTA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12B16603;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12B16603
46000699;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP AUSIÀS MARCH;CEIP AUSIÀS MARCH;PÚB.;AVINGUDA;MESTRA JOSEFINA FERNÁNDEZ;54;46600;ALZIRA;VALENCIA/VALÈNCIA;962457520;;1;GENERALITAT VALENCIANA;Q9655075A;LA RIBERA ALTA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46000699;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46000699
46003342;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;CENTRE PRIVAT LA MILAGROSA;CENTRE PRIVAT LA MILAGROSA;PRIV. CONC.;CARRER;CERVANTES;18;46400;CULLERA;VALENCIA/VALÈNCIA;961720231;961738005;1;NO CONSTA.;R4600238B;LA RIBERA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46003342;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46003342
46016841;CENTRO AUTOR. DE ENSEÑANZAS ARTÍSTICAS PROFESIONALES DE ARTES PLÁSTICAS Y DISEÑO;CENTRE AUT. D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS D'ARTS PLÀSTIQUES I DISSENY;CENTRE ENS. ARTIST. PROFESSIONALS  BARREIRA ARTE Y DISEÑO;CENTRE ENS. ARTIST. PROFESSIONALS  BARREIRA ARTE Y DISEÑO;PRIV.;CARRER;SAN JACINTO;1;46008;VALÈNCIA;VALENCIA/VALÈNCIA;961130354;961130359;1;NO CONSTA.;B98136872;VALENCIA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46016841;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46016841
3001477;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;CEP CENTRO DE RECEPCIÓN;CEP CENTRO DE RECEPCIÓN;PÚB.;CARRER;PRIMITIVO PÉREZ;21;3010;ALACANT;ALICANTE/ALACANT;965937330;;1;GENERALITAT VALENCIANA;Q5355540E;L'ALACANTÍ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03001477;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03001477